id,destination_key_value,amount,timestamp,key,key_type,institution,branch,account_number,account_type,owner_type,owner_name,cnpj,company_name,registration_date,status,status_date,share_capital,branch_type,common_transfers_client,all_transfers,confidence_score,fraud_reasons
f3dc5b7a-95ba-4d46-81a3-be835162f50d,58150554332905,89116.28,2023-03-07T22:44:19,58150554332905,CNPJ,BANCO ORIGINAL S.A.,5325,92793604,CONTA_CORRENTE,PESSOA_JURIDICA,da Rocha,58150554332905,da Rocha,2005-08-25,ATIVO,2025-06-08,1754035.62,MATRIZ,0,1033,0.6,"Nenhuma transação comum com este cliente, Baixa movimentação anual (<1k/ano), Empresa ativa, Empresa com mais de 15 anos de existência, Capital social médio (500k - 2M)"
849b5848-52d4-4d1f-b114-34986b85ae56,58150554332905,33391.33,2024-01-31T03:40:58,58150554332905,CNPJ,BANCO ORIGINAL S.A.,5325,92793604,CONTA_CORRENTE,PESSOA_JURIDICA,da Rocha,58150554332905,da Rocha,2005-08-25,ATIVO,2025-06-08,1754035.62,MATRIZ,0,877,0.6,"Nenhuma transação comum com este cliente, Baixa movimentação anual (<1k/ano), Empresa ativa, Empresa com mais de 15 anos de existência, Capital social médio (500k - 2M)"
96b460b9-2e53-4be8-b32d-9580b954cc4e,58150554332905,40569.74,2024-04-28T22:42:36,58150554332905,CNPJ,BANCO ORIGINAL S.A.,5325,92793604,CONTA_CORRENTE,PESSOA_JURIDICA,da Rocha,58150554332905,da Rocha,2005-08-25,ATIVO,2025-06-08,1754035.62,MATRIZ,0,495,0.6,"Nenhuma transação comum com este cliente, Baixa movimentação anual (<1k/ano), Empresa ativa, Empresa com mais de 15 anos de existência, Capital social médio (500k - 2M)"
ce93b3bf-e583-4933-972b-d3f9e114e9cb,58150554332905,14395.66,2020-10-24T05:55:27,58150554332905,CNPJ,BANCO ORIGINAL S.A.,5325,92793604,CONTA_CORRENTE,PESSOA_JURIDICA,da Rocha,58150554332905,da Rocha,2005-08-25,ATIVO,2025-06-08,1754035.62,MATRIZ,10,38,1.0,"Empresa ativa, Empresa com mais de 15 anos de existência, Capital social médio (500k - 2M), Várias transações anteriores com este cliente (>=10)"
a46520b8-fa10-4466-9b7e-e1226eddb817,58150554332905,14803.12,2024-12-18T12:53:02,58150554332905,CNPJ,BANCO ORIGINAL S.A.,5325,92793604,CONTA_CORRENTE,PESSOA_JURIDICA,da Rocha,58150554332905,da Rocha,2005-08-25,ATIVO,2025-06-08,1754035.62,MATRIZ,0,551,0.6,"Nenhuma transação comum com este cliente, Baixa movimentação anual (<1k/ano), Empresa ativa, Empresa com mais de 15 anos de existência, Capital social médio (500k - 2M)"
a95255b5-420f-4c32-bc54-307fb0148199,58150554332905,94012.72,2021-10-08T13:45:11,58150554332905,CNPJ,BANCO ORIGINAL S.A.,5325,92793604,CONTA_CORRENTE,PESSOA_JURIDICA,da Rocha,58150554332905,da Rocha,2005-08-25,ATIVO,2025-06-08,1754035.62,MATRIZ,5,1123,1.0,"Empresa ativa, Empresa com mais de 15 anos de existência, Capital social médio (500k - 2M), Algumas transações anteriores com este cliente (3 a 9)"
4052f4f0-6cb5-4694-b3b9-571445d54640,58150554332905,2017.93,2021-02-09T20:25:35,58150554332905,CNPJ,BANCO ORIGINAL S.A.,5325,92793604,CONTA_CORRENTE,PESSOA_JURIDICA,da Rocha,58150554332905,da Rocha,2005-08-25,ATIVO,2025-06-08,1754035.62,MATRIZ,6,455,1.0,"Empresa ativa, Empresa com mais de 15 anos de existência, Capital social médio (500k - 2M), Algumas transações anteriores com este cliente (3 a 9)"
03235bbc-44c1-464d-a3f3-5739be6d5c8a,58150554332905,2710.44,2022-12-26T09:30:14,58150554332905,CNPJ,BANCO ORIGINAL S.A.,5325,92793604,CONTA_CORRENTE,PESSOA_JURIDICA,da Rocha,58150554332905,da Rocha,2005-08-25,ATIVO,2025-06-08,1754035.62,MATRIZ,10,1001,1.0,"Empresa ativa, Empresa com mais de 15 anos de existência, Capital social médio (500k - 2M), Várias transações anteriores com este cliente (>=10)"
572fa941-b0cd-4666-9147-47e7cbd449b3,58150554332905,14016.64,2025-04-30T19:24:33,58150554332905,CNPJ,BANCO ORIGINAL S.A.,5325,92793604,CONTA_CORRENTE,PESSOA_JURIDICA,da Rocha,58150554332905,da Rocha,2005-08-25,ATIVO,2025-06-08,1754035.62,MATRIZ,8,1023,1.0,"Empresa ativa, Empresa com mais de 15 anos de existência, Capital social médio (500k - 2M), Algumas transações anteriores com este cliente (3 a 9)"
36220f27-83d8-490d-a8b8-e2c8b3a79ae9,58150554332905,8624.71,2021-01-09T16:50:34,58150554332905,CNPJ,BANCO ORIGINAL S.A.,5325,92793604,CONTA_CORRENTE,PESSOA_JURIDICA,da Rocha,58150554332905,da Rocha,2005-08-25,ATIVO,2025-06-08,1754035.62,MATRIZ,6,962,1.0,"Empresa ativa, Empresa com mais de 15 anos de existência, Capital social médio (500k - 2M), Algumas transações anteriores com este cliente (3 a 9)"
