id,destinationKeyValue,amount,timestamp,key_type,institution,branch,account_number,account_type,owner_type,owner_name,cpf,full_name,birth_date,registration_date,status,common_transfers_client,all_transfers
dc0442c2-e188-40f3-b3f4-9106b08ef153,82629228320,10747.21,2021-02-24T19:29:55,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,0,501
1a46b030-fadd-4bd4-a903-f125942523bc,82629228320,26137.07,2023-07-09T21:18:01,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,7,1034
430e306f-f41a-41a6-907d-fcca6eda2fac,82629228320,94493.97,2022-03-29T05:04:30,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,10,1198
e0917a8f-29a8-48d5-a243-819bd6d9a7e6,82629228320,68831.52,2024-07-02T01:02:08,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,3,417
e4fa75c8-d72a-4f4f-b260-267070c489aa,82629228320,72420.11,2023-08-22T14:19:04,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,10,1
798ee22b-a0cc-4698-b853-e691ce6c6256,82629228320,28074.33,2021-01-12T15:39:33,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,0,813
ea708afc-540f-4c36-9f29-5eb85c6fcfbd,82629228320,34279.21,2023-06-07T16:06:02,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,1,16
149278f8-ef77-4341-8312-b864dc037e97,82629228320,82069.23,2021-10-19T08:37:11,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,0,985
958486ae-ea5d-4912-bce7-4913bdf096e6,82629228320,40572.8,2024-11-04T08:05:32,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,0,948
877b5103-813d-4148-ab94-c6b93ffea851,82629228320,6141.54,2024-10-03T01:24:59,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,0,943
23d07da5-dd53-4790-952e-fe6034625cb4,82629228320,11480.58,2022-07-14T21:32:21,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,1,26
f47b5d9b-ac65-42a5-8eea-af18ce9d725d,82629228320,34083.71,2023-11-13T16:23:30,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,0,1057
b46e1dfa-0f41-412d-beb5-6b5d14fa8fa5,82629228320,6655.06,2025-02-19T03:41:04,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,2,518
9550b682-f166-406d-a15e-1a73446c5445,82629228320,77721.67,2022-03-07T06:18:17,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,0,61
1211c8e4-0ed1-496f-9e5a-fa5157035b60,82629228320,26572.38,2022-11-05T11:06:01,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,10,11
fd7b433b-a224-4b48-8e28-21752c968255,82629228320,962.67,2021-02-22T12:40:14,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,0,94
e2fd079e-fc48-4f65-895c-5776f52eb2cd,82629228320,21010.05,2020-12-24T15:49:55,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,0,1106
4abf6e6b-0ff1-4486-934a-22e902bad4cb,82629228320,10597.14,2024-04-23T13:54:17,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,0,509
68f56a73-91bc-468b-91af-2c2449e9d580,82629228320,77158.22,2022-12-12T11:58:02,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,5,427
2ca363ce-b426-4c08-a561-75ee9f12a9c9,82629228320,71079.0,2022-07-17T04:32:44,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,5,11
7e67d18f-85f2-4b2e-91b7-24a5395fca5c,joao-gabriel08@example.com,86064.61,2025-04-07T22:51:13,EMAIL,CAIXA ECONÔMICA FEDERAL,8901,29600082,CONTA_CORRENTE,PESSOA_FISICA,Mirella Rodrigues,51899057803,Mirella Rodrigues,1968-06-09,1988-08-02 10:46:25,ATIVO,0,574
6e394788-e75c-4896-8706-6a11fc61e5b7,joao-gabriel08@example.com,30063.41,2023-10-31T22:45:00,EMAIL,CAIXA ECONÔMICA FEDERAL,8901,29600082,CONTA_CORRENTE,PESSOA_FISICA,Mirella Rodrigues,51899057803,Mirella Rodrigues,1968-06-09,1988-08-02 10:46:25,ATIVO,0,71
