id,destinationKeyValue,amount,timestamp,key,key_type,institution,branch,account_number,account_type,owner_type,owner_name,cnpj,company_name,registration_date,status,status_date,share_capital,branch_type,common_transfers_client,all_transfers
2459fe3a-cbe2-4081-b6cc-314021fadd67,58150554332905,89116.28,2023-03-07T22:44:19,58150554332905,CNPJ,BANCO ORIGINAL S.A.,5325,92793604,CONTA_CORRENTE,PESSOA_JURIDICA,da Rocha,58150554332905,da Rocha,2005-08-25,ATIVO,2025-06-08,1754035.62,MATRIZ,0,824
50f37346-6d26-46e3-8e1a-b243f79a7740,58150554332905,33391.33,2024-01-31T03:40:58,58150554332905,CNPJ,BANCO ORIGINAL S.A.,5325,92793604,CONTA_CORRENTE,PESSOA_JURIDICA,da Rocha,58150554332905,da Rocha,2005-08-25,ATIVO,2025-06-08,1754035.62,MATRIZ,6,1022
ac88ea8e-1a2d-4683-8a55-a822b00393b4,58150554332905,40569.74,2024-04-28T22:42:36,58150554332905,CNPJ,BANCO ORIGINAL S.A.,5325,92793604,CONTA_CORRENTE,PESSOA_JURIDICA,da Rocha,58150554332905,da Rocha,2005-08-25,ATIVO,2025-06-08,1754035.62,MATRIZ,9,417
fab0de9f-4570-45e1-a6ac-d3214c32d16b,58150554332905,14395.66,2020-10-24T05:55:27,58150554332905,CNPJ,BANCO ORIGINAL S.A.,5325,92793604,CONTA_CORRENTE,PESSOA_JURIDICA,da Rocha,58150554332905,da Rocha,2005-08-25,ATIVO,2025-06-08,1754035.62,MATRIZ,3,503
ef165333-94a6-433c-8d0c-4146e2469cf1,58150554332905,14803.12,2024-12-18T12:53:02,58150554332905,CNPJ,BANCO ORIGINAL S.A.,5325,92793604,CONTA_CORRENTE,PESSOA_JURIDICA,da Rocha,58150554332905,da Rocha,2005-08-25,ATIVO,2025-06-08,1754035.62,MATRIZ,0,1167
96514a92-78af-421f-bc48-c690012a06e2,58150554332905,94012.72,2021-10-08T13:45:11,58150554332905,CNPJ,BANCO ORIGINAL S.A.,5325,92793604,CONTA_CORRENTE,PESSOA_JURIDICA,da Rocha,58150554332905,da Rocha,2005-08-25,ATIVO,2025-06-08,1754035.62,MATRIZ,2,567
43125ceb-b8d1-47cb-a677-45d06ebf76d6,58150554332905,2017.93,2021-02-09T20:25:35,58150554332905,CNPJ,BANCO ORIGINAL S.A.,5325,92793604,CONTA_CORRENTE,PESSOA_JURIDICA,da Rocha,58150554332905,da Rocha,2005-08-25,ATIVO,2025-06-08,1754035.62,MATRIZ,3,432
d136e110-d0e7-447a-b68a-c0e7d809a8e0,58150554332905,2710.44,2022-12-26T09:30:14,58150554332905,CNPJ,BANCO ORIGINAL S.A.,5325,92793604,CONTA_CORRENTE,PESSOA_JURIDICA,da Rocha,58150554332905,da Rocha,2005-08-25,ATIVO,2025-06-08,1754035.62,MATRIZ,10,528
b23a7889-9588-4d8d-a117-f1f7dfa25aa0,58150554332905,14016.64,2025-04-30T19:24:33,58150554332905,CNPJ,BANCO ORIGINAL S.A.,5325,92793604,CONTA_CORRENTE,PESSOA_JURIDICA,da Rocha,58150554332905,da Rocha,2005-08-25,ATIVO,2025-06-08,1754035.62,MATRIZ,5,873
bea778f7-a1dd-4dd2-ba4d-3399f9d2e692,58150554332905,8624.71,2021-01-09T16:50:34,58150554332905,CNPJ,BANCO ORIGINAL S.A.,5325,92793604,CONTA_CORRENTE,PESSOA_JURIDICA,da Rocha,58150554332905,da Rocha,2005-08-25,ATIVO,2025-06-08,1754035.62,MATRIZ,0,589
