id,destination_key_value,amount,timestamp,key_type,institution,branch,account_number,account_type,owner_type,owner_name,cpf,full_name,birth_date,registration_date,status,common_transfers_client,all_transfers
329654ce-943e-4924-8804-9ed8a43673a5,82629228320,10747.21,2021-02-24T19:29:55,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,7,21
8c08637a-ac04-4e58-9a3d-8a6e7f88023b,82629228320,26137.07,2023-07-09T21:18:01,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,0,403
d5fae055-1131-4569-b46a-6c15e68cf565,82629228320,94493.97,2022-03-29T05:04:30,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,0,881
1df8e58d-f7ed-4abe-800d-00a1a8a95f03,82629228320,68831.52,2024-07-02T01:02:08,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,3,865
b515e54d-759d-448c-96d1-a21d41512e94,82629228320,72420.11,2023-08-22T14:19:04,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,0,452
4453b32c-86ec-48c9-94a6-74f5f4c3191c,82629228320,28074.33,2021-01-12T15:39:33,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,7,990
f38f5576-2113-4e8a-9838-c35c98e02150,82629228320,34279.21,2023-06-07T16:06:02,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,3,1138
ecb3b6a2-8a04-4464-8b4e-d712f374ee67,82629228320,82069.23,2021-10-19T08:37:11,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,0,993
98d8dfdf-30e5-47fd-9d67-d47906829e6e,82629228320,40572.8,2024-11-04T08:05:32,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,5,984
450dec93-3abb-46e8-aba0-3d6adf61f4a2,82629228320,6141.54,2024-10-03T01:24:59,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,0,1016
27130827-95bf-451d-84f8-bef928490c46,82629228320,11480.58,2022-07-14T21:32:21,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,0,20
e339dc56-e217-42ad-8cba-735fb52f6b61,82629228320,34083.71,2023-11-13T16:23:30,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,7,559
29dc1799-b291-4117-a88b-181cea460949,82629228320,6655.06,2025-02-19T03:41:04,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,8,1141
c1614f51-2276-4399-a931-ce40e20b9331,82629228320,77721.67,2022-03-07T06:18:17,CPF,CAIXA ECONÔMICA FEDERAL,9023,52630571,CONTA_CORRENTE,PESSOA_FISICA,Maria Helena Abreu,82629228320,Maria Helena Abreu,1957-11-17,1980-01-08 02:43:11,INATIVO,0,420
